name,email,firm,focus_area,notes
First Round Capital,pitch@firstround.com,First Round Capital,Seed / High-Conviction,High-Conviction Seed Specialist - leads early and moves fast
Initialized Capital,info@initialized.com,Initialized Capital,Seed / High-Conviction,High-Conviction Seed Specialist
Uncork Capital,info@uncork.vc,Uncork Capital,Seed / High-Conviction,High-Conviction Seed Specialist
Precursor Ventures,info@precursorvc.com,Precursor Ventures,Seed / High-Conviction,High-Conviction Seed Specialist
Freestyle Capital,info@freestyle.vc,Freestyle Capital,Seed / High-Conviction,High-Conviction Seed Specialist
Slow Ventures,info@slow.co,Slow Ventures,Seed / High-Conviction,High-Conviction Seed Specialist
Unusual Ventures,info@unusual.vc,Unusual Ventures,Seed / High-Conviction,High-Conviction Seed Specialist
Pear VC,info@pear.vc,Pear VC,Seed / High-Conviction,High-Conviction Seed Specialist
Ulu Ventures,info@uluventures.com,Ulu Ventures,Seed / High-Conviction,High-Conviction Seed Specialist
Pillar VC,info@pillar.vc,Pillar VC,Seed / High-Conviction,High-Conviction Seed Specialist
Craft Ventures,info@craftventures.com,Craft Ventures,Operator-Led,Operator-Led & Founder-First Fund
True Ventures,info@trueventures.com,True Ventures,Operator-Led,Operator-Led & Founder-First Fund
Bling Capital,info@bling.capital,Bling Capital,Operator-Led,Operator-Led & Founder-First Fund
boldstart ventures,info@boldstart.vc,boldstart ventures,Operator-Led,Operator-Led & Founder-First Fund
defy.vc,info@defy.vc,defy.vc,Operator-Led,Operator-Led & Founder-First Fund
Root Ventures,info@root.vc,Root Ventures,Operator-Led,Operator-Led & Founder-First Fund
Tribe Capital,info@tribecap.co,Tribe Capital,Operator-Led,Operator-Led & Founder-First Fund
Zetta Venture Partners,info@zetta.vc,Zetta Venture Partners,AI / Deep Tech,Technical conviction - AI Data & Deep Tech
Amplify Partners,info@amplifypartners.com,Amplify Partners,AI / Deep Tech,AI Data & Deep Tech
Engineering Capital,info@engineeringcapital.com,Engineering Capital,AI / Deep Tech,AI Data & Deep Tech
Decibel Partners,info@decibel.vc,Decibel Partners,AI / Deep Tech,AI Data & Deep Tech
Wing Venture Capital,info@wing.vc,Wing Venture Capital,AI / Deep Tech,AI Data & Deep Tech
Lux Capital,info@luxcapital.com,Lux Capital,AI / Deep Tech,AI Data & Deep Tech
Costanoa Ventures,info@costanoavc.com,Costanoa Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
Crosslink Capital,info@crosslinkcapital.com,Crosslink Capital,Enterprise / SaaS,Enterprise SaaS & Fintech
Array Ventures,info@array.vc,Array Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
Bain Capital Ventures,info@bcv.vc,Bain Capital Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
Sierra Ventures,info@sierraventures.com,Sierra Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
Foundation Capital,info@foundationcap.com,Foundation Capital,Enterprise / SaaS,Enterprise SaaS & Fintech
Menlo Ventures,info@menlovc.com,Menlo Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
Battery Ventures,info@battery.com,Battery Ventures,Enterprise / SaaS,Enterprise SaaS & Fintech
B Capital Group,info@bcapgroup.com,B Capital Group,Enterprise / SaaS,Enterprise SaaS & Fintech
Sequoia Capital,info@sequoiacap.com,Sequoia Capital,Multi-Stage Seed,Big names that still write the first check
Bessemer Venture Partners,info@bvp.com,Bessemer Venture Partners,Multi-Stage Seed,Big names that still write the first check
Index Ventures,info@indexventures.com,Index Ventures,Multi-Stage Seed,Big names that still write the first check
8VC,info@8vc.com,8VC,Multi-Stage Seed,Big names that still write the first check
Khosla Ventures,info@khoslaventures.com,Khosla Ventures,Multi-Stage Seed,Big names that still write the first check
Founders Fund,info@foundersfund.com,Founders Fund,Multi-Stage Seed,Big names that still write the first check
Forerunner Ventures,info@forerunnerventures.com,Forerunner Ventures,Consumer / Brand,Consumer Brand & Culture
HUMAN CAPITAL,info@humancapital.co,HUMAN CAPITAL,Consumer / Brand,Consumer Brand & Culture
Obvious Ventures,info@obvious.com,Obvious Ventures,Consumer / Brand,Consumer Brand & Culture
Caffeinated Capital,info@caffeinatedcapital.com,Caffeinated Capital,Consumer / Brand,Consumer Brand & Culture
Cowboy Ventures,info@cowboy.vc,Cowboy Ventures,Generalist Early-Stage,Broad thesis - consistent early-stage leadership
Upfront Ventures,info@upfront.com,Upfront Ventures,Generalist Early-Stage,Broad thesis - consistent early-stage leadership
MaC Venture Capital,info@macventurecapital.com,MaC Venture Capital,Generalist Early-Stage,Broad thesis - consistent early-stage leadership
Human Ventures,info@human.com,Human Ventures,Investor,Scraped from LinkedIn post
Shine Capital,info@shine.com,Shine Capital,Investor,Scraped from LinkedIn post
SaaStr Fund,info@saastr.com,SaaStr Fund,Investor,Scraped from LinkedIn post
645 Ventures,info@645.com,645 Ventures,Investor,Scraped from LinkedIn post
Kapor Capital,info@kapor.com,Kapor Capital,Investor,Scraped from LinkedIn post
Felicis Ventures,info@felicis.com,Felicis Ventures,Investor,Scraped from LinkedIn post
